,word,sentiment
202,amazingly,positive
203,ambiguity,negative
204,ambiguous,negative
205,ambitious,positive
206,ambitiously,positive
207,ambivalence,negative
208,ambivalent,negative
209,ambush,negative
210,ameliorate,positive
211,amenable,positive
212,amenity,positive
213,amiability,positive
214,amiabily,positive
215,amiable,positive
216,amicability,positive
217,amicable,positive
218,amicably,positive
219,amiss,negative
220,amity,positive
221,ample,positive
222,amply,positive
223,amputate,negative
224,amuse,positive
225,amusing,positive
226,amusingly,positive
227,anarchism,negative
228,anarchist,negative
229,anarchistic,negative
230,anarchy,negative
231,anemic,negative
232,angel,positive
233,angelic,positive
234,anger,negative
235,angrily,negative
236,angriness,negative
237,angry,negative
238,anguish,negative
239,animosity,negative
240,annihilate,negative
241,annihilation,negative
242,annoy,negative
243,annoyance,negative
244,annoyances,negative
245,annoyed,negative
246,annoying,negative
247,annoyingly,negative
248,annoys,negative
249,anomalous,negative
250,anomaly,negative
251,antagonism,negative
252,antagonist,negative
253,antagonistic,negative
254,antagonize,negative
255,anti-,negative
256,anti-american,negative
257,anti-israeli,negative
258,anti-occupation,negative
259,anti-proliferation,negative
260,anti-semites,negative
261,anti-social,negative
262,anti-us,negative
263,anti-white,negative
264,antipathy,negative
265,antiquated,negative
266,antithetical,negative
267,anxieties,negative
268,anxiety,negative
269,anxious,negative
270,anxiously,negative
271,anxiousness,negative
272,apathetic,negative
273,apathetically,negative
274,apathy,negative
275,apocalypse,negative
276,apocalyptic,negative
277,apologist,negative
278,apologists,negative
279,apotheosis,positive
280,appal,negative
281,appall,negative
282,appalled,negative
283,appalling,negative
284,appallingly,negative
285,appeal,positive
286,appealing,positive
287,applaud,positive
288,appreciable,positive
289,appreciate,positive
290,appreciated,positive
291,appreciates,positive
292,appreciative,positive
293,appreciatively,positive
294,apprehension,negative
295,apprehensions,negative
296,apprehensive,negative
297,apprehensively,negative
298,appropriate,positive
299,approval,positive
300,approve,positive
301,arbitrary,negative
302,arcane,negative
303,archaic,negative
304,ardent,positive
305,ardently,positive
306,ardor,positive
307,arduous,negative
308,arduously,negative
309,argumentative,negative
310,arrogance,negative
311,arrogant,negative
312,arrogantly,negative
313,articulate,positive
314,ashamed,negative
315,asinine,negative
316,asininely,negative
317,asinininity,negative
318,askance,negative
319,asperse,negative
320,aspersion,negative
321,aspersions,negative
322,aspiration,positive
323,aspirations,positive
324,aspire,positive
325,assail,negative
326,assassin,negative
327,assassinate,negative
328,assault,negative
329,assult,negative
330,assurance,positive
331,assurances,positive
332,assure,positive
333,assuredly,positive
334,assuring,positive
335,astonish,positive
336,astonished,positive
337,astonishing,positive
338,astonishingly,positive
339,astonishment,positive
340,astound,positive
341,astounded,positive
342,astounding,positive
343,astoundingly,positive
344,astray,negative
345,astutely,positive
346,asunder,negative
347,atrocious,negative
348,atrocities,negative
349,atrocity,negative
350,atrophy,negative
351,attack,negative
352,attacks,negative
353,attentive,positive
354,attraction,positive
355,attractive,positive
356,attractively,positive
357,attune,positive
358,audacious,negative
359,audaciously,negative
360,audaciousness,negative
361,audacity,negative
362,audible,positive
363,audibly,positive
364,audiciously,negative
365,auspicious,positive
366,austere,negative
367,authentic,positive
368,authoritarian,negative
369,authoritative,positive
370,autocrat,negative
371,autocratic,negative
372,autonomous,positive
373,available,positive
374,avalanche,negative
375,avarice,negative
376,avaricious,negative
377,avariciously,negative
378,avenge,negative
379,aver,positive
380,averse,negative
381,aversion,negative
382,avid,positive
383,avidly,positive
384,award,positive
385,awarded,positive
386,awards,positive
387,awe,positive
388,awed,positive
389,aweful,negative
390,awesome,positive
391,awesomely,positive
392,awesomeness,positive
393,awestruck,positive
394,awful,negative
395,awfully,negative
396,awfulness,negative
397,awkward,negative
398,awkwardness,negative
399,awsome,positive
400,ax,negative
401,babble,negative
402,back-logged,negative
403,back-wood,negative
404,back-woods,negative
405,backache,negative
406,backaches,negative
407,backaching,negative
408,backbite,negative
409,backbiting,negative
410,backbone,positive
411,backward,negative
412,backwardness,negative
413,backwood,negative
414,backwoods,negative
415,bad,negative
416,badly,negative
417,baffle,negative
418,baffled,negative
419,bafflement,negative
420,baffling,negative
421,bait,negative
422,balanced,positive
423,balk,negative
424,banal,negative
425,banalize,negative
426,bane,negative
427,banish,negative
428,banishment,negative
429,bankrupt,negative
430,barbarian,negative
431,barbaric,negative
432,barbarically,negative
433,barbarity,negative
434,barbarous,negative
435,barbarously,negative
436,bargain,positive
437,barren,negative
438,baseless,negative
439,bash,negative
440,bashed,negative
441,bashful,negative
442,bashing,negative
443,bastard,negative
444,bastards,negative
445,battered,negative
446,battering,negative
447,batty,negative
448,bearish,negative
449,beastly,negative
450,beauteous,positive
451,beautiful,positive
452,beautifullly,positive
453,beautifully,positive
454,beautify,positive
455,beauty,positive
456,beckon,positive
457,beckoned,positive
458,beckoning,positive
459,beckons,positive
460,bedlam,negative
461,bedlamite,negative
462,befoul,negative
463,beg,negative
464,beggar,negative
465,beggarly,negative
466,begging,negative
467,beguile,negative
468,belabor,negative
469,belated,negative
470,beleaguer,negative
471,belie,negative
472,believable,positive
473,believeable,positive
474,belittle,negative
475,belittled,negative
476,belittling,negative
477,bellicose,negative
478,belligerence,negative
479,belligerent,negative
480,belligerently,negative
481,beloved,positive
482,bemoan,negative
483,bemoaning,negative
484,bemused,negative
485,benefactor,positive
486,beneficent,positive
487,beneficial,positive
488,beneficially,positive
489,beneficiary,positive
490,benefit,positive
491,benefits,positive
492,benevolence,positive
493,benevolent,positive
494,benifits,positive
495,bent,negative
496,berate,negative
497,bereave,negative
498,bereavement,negative
499,bereft,negative
500,berserk,negative
501,beseech,negative
502,beset,negative
503,besiege,negative
504,besmirch,negative
505,best,positive
506,best-known,positive
507,best-performing,positive
508,best-selling,positive
509,bestial,negative
510,betray,negative
511,betrayal,negative
512,betrayals,negative
513,betrayer,negative
514,betraying,negative
515,betrays,negative
516,better,positive
517,better-known,positive
518,better-than-expected,positive
519,beutifully,positive
520,bewail,negative
521,beware,negative
522,bewilder,negative
523,bewildered,negative
524,bewildering,negative
525,bewilderingly,negative
526,bewilderment,negative
527,bewitch,negative
528,bias,negative
529,biased,negative
530,biases,negative
531,bicker,negative
532,bickering,negative
533,bid-rigging,negative
534,bigotries,negative
535,bigotry,negative
536,bitch,negative
537,bitchy,negative
538,biting,negative
539,bitingly,negative
540,bitter,negative
541,bitterly,negative
542,bitterness,negative
543,bizarre,negative
544,blab,negative
545,blabber,negative
546,blackmail,negative
547,blah,negative
548,blame,negative
549,blameless,positive
550,blameworthy,negative
551,bland,negative
552,blandish,negative
553,blaspheme,negative
554,blasphemous,negative
555,blasphemy,negative
556,blasted,negative
557,blatant,negative
558,blatantly,negative
559,blather,negative
560,bleak,negative
561,bleakly,negative
562,bleakness,negative
563,bleed,negative
564,bleeding,negative
565,bleeds,negative
566,blemish,negative
567,bless,positive
568,blessing,positive
569,blind,negative
570,blinding,negative
571,blindingly,negative
572,blindside,negative
573,bliss,positive
574,blissful,positive
575,blissfully,positive
576,blister,negative
577,blistering,negative
578,blithe,positive
579,bloated,negative
580,blockage,negative
581,blockbuster,positive
582,blockhead,negative
583,bloodshed,negative
584,bloodthirsty,negative
585,bloody,negative
586,bloom,positive
587,blossom,positive
588,blotchy,negative
589,blow,negative
590,blunder,negative
591,blundering,negative
592,blunders,negative
593,blunt,negative
594,blur,negative
595,bluring,negative
596,blurred,negative
597,blurring,negative
598,blurry,negative
599,blurs,negative
600,blurt,negative
601,boastful,negative
602,boggle,negative
603,bogus,negative
604,boil,negative
605,boiling,negative
606,boisterous,negative
607,bolster,positive
608,bomb,negative
609,bombard,negative
610,bombardment,negative
611,bombastic,negative
612,bondage,negative
613,bonkers,negative
614,bonny,positive
615,bonus,positive
616,bonuses,positive
617,boom,positive
618,booming,positive
619,boost,positive
620,bore,negative
621,bored,negative
622,boredom,negative
623,bores,negative
624,boring,negative
625,botch,negative
626,bother,negative
627,bothered,negative
628,bothering,negative
629,bothers,negative
630,bothersome,negative
631,boundless,positive
632,bountiful,positive
633,bowdlerize,negative
634,boycott,negative
635,braggart,negative
636,bragger,negative
637,brainiest,positive
638,brainless,negative
639,brainwash,negative
640,brainy,positive
641,brand-new,positive
642,brash,negative
643,brashly,negative
644,brashness,negative
645,brat,negative
646,bravado,negative
647,brave,positive
648,bravery,positive
649,bravo,positive
650,brazen,negative
651,brazenly,negative
652,brazenness,negative
653,breach,negative
654,break,negative
655,break-up,negative
656,break-ups,negative
657,breakdown,negative
658,breaking,negative
659,breaks,negative
660,breakthrough,positive
661,breakthroughs,positive
662,breakup,negative
663,breakups,negative
664,breathlessness,positive
665,breathtaking,positive
666,breathtakingly,positive
667,breeze,positive
668,bribery,negative
669,bright,positive
670,brighten,positive
671,brighter,positive
672,brightest,positive
673,brilliance,positive
674,brilliances,positive
675,brilliant,positive
676,brilliantly,positive
677,brimstone,negative
678,brisk,positive
679,bristle,negative
680,brittle,negative
681,broke,negative
682,broken,negative
683,broken-hearted,negative
684,brood,negative
685,brotherly,positive
686,browbeat,negative
687,bruise,negative
688,bruised,negative
689,bruises,negative
690,bruising,negative
691,brusque,negative
692,brutal,negative
693,brutalising,negative
694,brutalities,negative
695,brutality,negative
696,brutalize,negative
697,brutalizing,negative
698,brutally,negative
699,brute,negative
700,brutish,negative
701,bs,negative
702,buckle,negative
703,bug,negative
704,bugging,negative
705,buggy,negative
706,bugs,negative
707,bulkier,negative
708,bulkiness,negative
709,bulky,negative
710,bulkyness,negative
711,bull****,negative
712,bull----,negative
713,bullies,negative
714,bullish,positive
715,bullshit,negative
716,bullshyt,negative
717,bully,negative
718,bullying,negative
719,bullyingly,negative
720,bum,negative
721,bump,negative
722,bumped,negative
723,bumping,negative
724,bumpping,negative
725,bumps,negative
726,bumpy,negative
727,bungle,negative
728,bungler,negative
729,bungling,negative
730,bunk,negative
731,buoyant,positive
732,burden,negative
733,burdensome,negative
734,burdensomely,negative
735,burn,negative
736,burned,negative
737,burning,negative
738,burns,negative
739,bust,negative
740,busts,negative
741,busybody,negative
742,butcher,negative
743,butchery,negative
744,buzzing,negative
745,byzantine,negative
746,cackle,negative
747,cajole,positive
748,calamities,negative
749,calamitous,negative
750,calamitously,negative
751,calamity,negative
752,callous,negative
753,calm,positive
754,calming,positive
755,calmness,positive
756,calumniate,negative
757,calumniation,negative
758,calumnies,negative
759,calumnious,negative
760,calumniously,negative
761,calumny,negative
762,cancer,negative
763,cancerous,negative
764,cannibal,negative
765,cannibalize,negative
766,capability,positive
767,capable,positive
768,capably,positive
769,capitulate,negative
770,capricious,negative
771,capriciously,negative
772,capriciousness,negative
773,capsize,negative
774,captivate,positive
775,captivating,positive
776,carefree,positive
777,careless,negative
778,carelessness,negative
779,caricature,negative
780,carnage,negative
781,carp,negative
782,cartoonish,negative
783,cash-strapped,negative
784,cashback,positive
785,cashbacks,positive
786,castigate,negative
787,castrated,negative
788,casualty,negative
789,cataclysm,negative
790,cataclysmal,negative
791,cataclysmic,negative
792,cataclysmically,negative
793,catastrophe,negative
794,catastrophes,negative
795,catastrophic,negative
796,catastrophically,negative
797,catastrophies,negative
798,catchy,positive
799,caustic,negative
800,caustically,negative
801,cautionary,negative
802,cave,negative
803,celebrate,positive
804,celebrated,positive
805,celebration,positive
806,celebratory,positive
807,censure,negative
808,chafe,negative
809,chaff,negative
810,chagrin,negative
811,challenging,negative
812,champ,positive
813,champion,positive
814,chaos,negative
815,chaotic,negative
816,charisma,positive
817,charismatic,positive
818,charitable,positive
819,charm,positive
820,charming,positive
821,charmingly,positive
822,chaste,positive
823,chasten,negative
824,chastise,negative
825,chastisement,negative
826,chatter,negative
827,chatterbox,negative
828,cheap,negative
829,cheapen,negative
830,cheaper,positive
831,cheapest,positive
832,cheaply,negative
833,cheat,negative
834,cheated,negative
835,cheater,negative
836,cheating,negative
837,cheats,negative
838,checkered,negative
839,cheer,positive
840,cheerful,positive
841,cheerless,negative
842,cheery,positive
843,cheesy,negative
844,cherish,positive
845,cherished,positive
846,cherub,positive
847,chic,positive
848,chide,negative
849,childish,negative
850,chill,negative
851,chilly,negative
852,chintzy,negative
853,chivalrous,positive
854,chivalry,positive
855,choke,negative
856,choleric,negative
857,choppy,negative
858,chore,negative
859,chronic,negative
860,chunky,negative
861,civility,positive
862,civilize,positive
863,clamor,negative
864,clamorous,negative
865,clarity,positive
866,clash,negative
867,classic,positive
868,classy,positive
869,clean,positive
870,cleaner,positive
871,cleanest,positive
872,cleanliness,positive
873,cleanly,positive
874,clear,positive
875,clear-cut,positive
876,cleared,positive
877,clearer,positive
878,clearly,positive
879,clears,positive
880,clever,positive
881,cleverly,positive
882,cliche,negative
883,cliched,negative
884,clique,negative
885,clog,negative
886,clogged,negative
887,clogs,negative
888,cloud,negative
889,clouding,negative
890,cloudy,negative
891,clueless,negative
892,clumsy,negative
893,clunky,negative
894,coarse,negative
895,cocky,negative
896,coerce,negative
897,coercion,negative
898,coercive,negative
899,cohere,positive
900,coherence,positive
901,coherent,positive
902,cohesive,positive
903,cold,negative
904,coldly,negative
905,collapse,negative
906,collude,negative
907,collusion,negative
908,colorful,positive
909,combative,negative
910,combust,negative
911,comely,positive
912,comfort,positive
913,comfortable,positive
914,comfortably,positive
915,comforting,positive
916,comfy,positive
917,comical,negative
918,commend,positive
919,commendable,positive
920,commendably,positive
921,commiserate,negative
922,commitment,positive
923,commodious,positive
924,commonplace,negative
925,commotion,negative
926,commotions,negative
927,compact,positive
928,compactly,positive
929,compassion,positive
930,compassionate,positive
931,compatible,positive
932,competitive,positive
933,complacent,negative
934,complain,negative
935,complained,negative
936,complaining,negative
937,complains,negative
938,complaint,negative
939,complaints,negative
940,complement,positive
941,complementary,positive
942,complemented,positive
943,complements,positive
944,complex,negative
945,compliant,positive
946,complicated,negative
947,complication,negative
948,complicit,negative
949,compliment,positive
950,complimentary,positive
951,comprehensive,positive
952,compulsion,negative
953,compulsive,negative
954,concede,negative
955,conceded,negative
956,conceit,negative
957,conceited,negative
958,concen,negative
959,concens,negative
960,concern,negative
961,concerned,negative
962,concerns,negative
963,concession,negative
964,concessions,negative
965,conciliate,positive
966,conciliatory,positive
967,concise,positive
968,condemn,negative
969,condemnable,negative
970,condemnation,negative
971,condemned,negative
972,condemns,negative
973,condescend,negative
974,condescending,negative
975,condescendingly,negative
976,condescension,negative
977,confess,negative
978,confession,negative
979,confessions,negative
980,confidence,positive
981,confident,positive
982,confined,negative
983,conflict,negative
984,conflicted,negative
985,conflicting,negative
986,conflicts,negative
987,confound,negative
988,confounded,negative
989,confounding,negative
990,confront,negative
991,confrontation,negative
992,confrontational,negative
993,confuse,negative
994,confused,negative
995,confuses,negative
996,confusing,negative
997,confusion,negative
998,confusions,negative
999,congenial,positive
1000,congested,negative
1001,congestion,negative
1002,congratulate,positive
1003,congratulation,positive
1004,congratulations,positive
1005,congratulatory,positive
1006,cons,negative
1007,conscientious,positive
1008,conscons,negative
1009,conservative,negative
1010,considerate,positive
1011,consistent,positive
1012,consistently,positive
1013,conspicuous,negative
1014,conspicuously,negative
1015,conspiracies,negative
1016,conspiracy,negative
1017,conspirator,negative
1018,conspiratorial,negative
1019,conspire,negative
1020,consternation,negative
1021,constructive,positive
1022,consummate,positive
1023,contagious,negative
1024,contaminate,negative
1025,contaminated,negative
1026,contaminates,negative
1027,contaminating,negative
1028,contamination,negative
1029,contempt,negative
1030,contemptible,negative
1031,contemptuous,negative
1032,contemptuously,negative
1033,contend,negative
1034,contention,negative
1035,contentious,negative
1036,contentment,positive
1037,continuity,positive
1038,contort,negative
1039,contortions,negative
1040,contradict,negative
1041,contradiction,negative
1042,contradictory,negative
1043,contrariness,negative
1044,contrasty,positive
1045,contravene,negative
1046,contribution,positive
1047,contrive,negative
1048,contrived,negative
1049,controversial,negative
1050,controversy,negative
1051,convenience,positive
1052,convenient,positive
1053,conveniently,positive
1054,convience,positive
1055,convienient,positive
1056,convient,positive
1057,convincing,positive
1058,convincingly,positive
1059,convoluted,negative
1060,cool,positive
1061,coolest,positive
1062,cooperative,positive
1063,cooperatively,positive
1064,cornerstone,positive
1065,correct,positive
1066,correctly,positive
1067,corrode,negative
1068,corrosion,negative
1069,corrosions,negative
1070,corrosive,negative
1071,corrupt,negative
1072,corrupted,negative
1073,corrupting,negative
1074,corruption,negative
1075,corrupts,negative
1076,corruptted,negative
1077,cost-effective,positive
1078,cost-saving,positive
1079,costlier,negative
1080,costly,negative
1081,counter-attack,positive
1082,counter-attacks,positive
1083,counter-productive,negative
1084,counterproductive,negative
1085,coupists,negative
1086,courage,positive
1087,courageous,positive
1088,courageously,positive
1089,courageousness,positive
1090,courteous,positive
1091,courtly,positive
1092,covenant,positive
1093,covetous,negative
1094,coward,negative
1095,cowardly,negative
1096,cozy,positive
1097,crabby,negative
1098,crack,negative
1099,cracked,negative
1100,cracks,negative
1101,craftily,negative
1102,craftly,negative
1103,crafty,negative
1104,cramp,negative
1105,cramped,negative
1106,cramping,negative
1107,cranky,negative
1108,crap,negative
1109,crappy,negative
1110,craps,negative
1111,crash,negative
1112,crashed,negative
1113,crashes,negative
1114,crashing,negative
1115,crass,negative
1116,craven,negative
1117,cravenly,negative
1118,craze,negative
1119,crazily,negative
1120,craziness,negative
1121,crazy,negative
1122,creak,negative
1123,creaking,negative
1124,creaks,negative
1125,creative,positive
1126,credence,positive
1127,credible,positive
1128,credulous,negative
1129,creep,negative
1130,creeping,negative
1131,creeps,negative
1132,creepy,negative
1133,crept,negative
1134,crime,negative
1135,criminal,negative
1136,cringe,negative
1137,cringed,negative
1138,cringes,negative
1139,cripple,negative
1140,crippled,negative
1141,cripples,negative
1142,crippling,negative
1143,crisis,negative
1144,crisp,positive
1145,crisper,positive
1146,critic,negative
1147,critical,negative
1148,criticism,negative
1149,criticisms,negative
1150,criticize,negative
1151,criticized,negative
1152,criticizing,negative
1153,critics,negative
1154,cronyism,negative
1155,crook,negative
1156,crooked,negative
1157,crooks,negative
1158,crowded,negative
1159,crowdedness,negative
1160,crude,negative
1161,cruel,negative
1162,crueler,negative
1163,cruelest,negative
1164,cruelly,negative
1165,cruelness,negative
1166,cruelties,negative
1167,cruelty,negative
1168,crumble,negative
1169,crumbling,negative
1170,crummy,negative
1171,crumple,negative
1172,crumpled,negative
1173,crumples,negative
1174,crush,negative
1175,crushed,negative
1176,crushing,negative
1177,cry,negative
1178,culpable,negative
1179,culprit,negative
1180,cumbersome,negative
1181,cunt,negative
1182,cunts,negative
1183,cuplrit,negative
1184,cure,positive
1185,cure-all,positive
1186,curse,negative
1187,cursed,negative
1188,curses,negative
1189,curt,negative
1190,cushy,positive
1191,cuss,negative
1192,cussed,negative
1193,cute,positive
1194,cuteness,positive
1195,cutthroat,negative
1196,cynical,negative
1197,cynicism,negative
1198,d*mn,negative
1199,damage,negative
1200,damaged,negative
1201,damages,negative
1202,damaging,negative
1203,damn,negative
1204,damnable,negative
1205,damnably,negative
1206,damnation,negative
1207,damned,negative
1208,damning,negative
1209,damper,negative
1210,danger,negative
1211,dangerous,negative
1212,dangerousness,negative
1213,danke,positive
1214,danken,positive
1215,daring,positive
1216,daringly,positive
1217,dark,negative
1218,darken,negative
1219,darkened,negative
1220,darker,negative
1221,darkness,negative
1222,darling,positive
1223,dashing,positive
1224,dastard,negative
1225,dastardly,negative
1226,daunt,negative
1227,daunting,negative
1228,dauntingly,negative
1229,dauntless,positive
1230,dawdle,negative
1231,dawn,positive
1232,daze,negative
1233,dazed,negative
1234,dazzle,positive
1235,dazzled,positive
1236,dazzling,positive
1237,dead,negative
1238,dead-cheap,positive
1239,dead-on,positive
1240,deadbeat,negative
1241,deadlock,negative
1242,deadly,negative
1243,deadweight,negative
1244,deaf,negative
1245,dearth,negative
1246,death,negative
1247,debacle,negative
1248,debase,negative
1249,debasement,negative
1250,debaser,negative
1251,debatable,negative
1252,debauch,negative
1253,debaucher,negative
1254,debauchery,negative
1255,debilitate,negative
1256,debilitating,negative
1257,debility,negative
1258,debt,negative
1259,debts,negative
1260,decadence,negative
1261,decadent,negative
1262,decay,negative
1263,decayed,negative
1264,deceit,negative
1265,deceitful,negative
1266,deceitfully,negative
1267,deceitfulness,negative
1268,deceive,negative
1269,deceiver,negative
1270,deceivers,negative
1271,deceiving,negative
1272,decency,positive
1273,decent,positive
1274,deception,negative
1275,deceptive,negative
1276,deceptively,negative
1277,decisive,positive
1278,decisiveness,positive
1279,declaim,negative
1280,decline,negative
1281,declines,negative
1282,declining,negative
1283,decrement,negative
1284,decrepit,negative
1285,decrepitude,negative
1286,decry,negative
1287,dedicated,positive
1288,defamation,negative
1289,defamations,negative
1290,defamatory,negative
1291,defame,negative
1292,defeat,positive
1293,defeated,positive
1294,defeating,positive
1295,defeats,positive
1296,defect,negative
1297,defective,negative
1298,defects,negative
1299,defender,positive
1300,defensive,negative
1301,deference,positive
1302,defiance,negative
1303,defiant,negative
1304,defiantly,negative
1305,deficiencies,negative
1306,deficiency,negative
1307,deficient,negative
1308,defile,negative
1309,defiler,negative
1310,deform,negative
1311,deformed,negative
1312,defrauding,negative
1313,deft,positive
1314,defunct,negative
1315,defy,negative
1316,degenerate,negative
1317,degenerately,negative
1318,degeneration,negative
1319,deginified,positive
1320,degradation,negative
1321,degrade,negative
1322,degrading,negative
1323,degradingly,negative
1324,dehumanization,negative
1325,dehumanize,negative
1326,deign,negative
1327,deject,negative
1328,dejected,negative
1329,dejectedly,negative
1330,dejection,negative
1331,delay,negative
1332,delayed,negative
1333,delaying,negative
1334,delays,negative
1335,delectable,positive
1336,delicacy,positive
1337,delicate,positive
1338,delicious,positive
1339,delight,positive
1340,delighted,positive
1341,delightful,positive
1342,delightfully,positive
1343,delightfulness,positive
1344,delinquency,negative
1345,delinquent,negative
1346,delirious,negative
1347,delirium,negative
1348,delude,negative
1349,deluded,negative
1350,deluge,negative
1351,delusion,negative
1352,delusional,negative
1353,delusions,negative
1354,demean,negative
1355,demeaning,negative
1356,demise,negative
1357,demolish,negative
1358,demolisher,negative
1359,demon,negative
1360,demonic,negative
1361,demonize,negative
1362,demonized,negative
1363,demonizes,negative
1364,demonizing,negative
1365,demoralize,negative
1366,demoralizing,negative
1367,demoralizingly,negative
1368,denial,negative
1369,denied,negative
1370,denies,negative
1371,denigrate,negative
1372,denounce,negative
1373,dense,negative
1374,dent,negative
1375,dented,negative
1376,dents,negative
1377,denunciate,negative
1378,denunciation,negative
1379,denunciations,negative
1380,deny,negative
1381,denying,negative
1382,dependable,positive
1383,dependably,positive
1384,deplete,negative
1385,deplorable,negative
1386,deplorably,negative
1387,deplore,negative
1388,deploring,negative
1389,deploringly,negative
1390,deprave,negative
1391,depraved,negative
1392,depravedly,negative
1393,deprecate,negative
1394,depress,negative
1395,depressed,negative
1396,depressing,negative
1397,depressingly,negative
1398,depression,negative
1399,depressions,negative
1400,deprive,negative
1401,deprived,negative
1402,deride,negative
1403,derision,negative
1404,derisive,negative
1405,derisively,negative
1406,derisiveness,negative
1407,derogatory,negative
1408,desecrate,negative
1409,desert,negative
1410,desertion,negative
1411,deservedly,positive
1412,deserving,positive
1413,desiccate,negative
1414,desiccated,negative
1415,desirable,positive
1416,desiring,positive
1417,desirous,positive
1418,desititute,negative
1419,desolate,negative
1420,desolately,negative
1421,desolation,negative
1422,despair,negative
1423,despairing,negative
1424,despairingly,negative
1425,desperate,negative
1426,desperately,negative
1427,desperation,negative
1428,despicable,negative
1429,despicably,negative
1430,despise,negative
1431,despised,negative
1432,despoil,negative
1433,despoiler,negative
1434,despondence,negative
1435,despondency,negative
1436,despondent,negative
1437,despondently,negative
1438,despot,negative
1439,despotic,negative
1440,despotism,negative
1441,destabilisation,negative
1442,destains,negative
1443,destiny,positive
1444,destitute,negative
1445,destitution,negative
1446,destroy,negative
1447,destroyer,negative
1448,destruction,negative
1449,destructive,negative
1450,desultory,negative
1451,detachable,positive
1452,deter,negative
1453,deteriorate,negative
1454,deteriorating,negative
1455,deterioration,negative
1456,deterrent,negative
1457,detest,negative
1458,detestable,negative
1459,detestably,negative
1460,detested,negative
1461,detesting,negative
