params,mean_test_score,rank_test_score
"{'learning_rate': 0.028299999999999985, 'max_depth': 2, 'n_estimator': 1000}",0.37753034492857274,71
"{'learning_rate': 0.028299999999999985, 'max_depth': 2, 'n_estimator': 1900}",0.37753034492857274,71
"{'learning_rate': 0.028299999999999985, 'max_depth': 2, 'n_estimator': 1800}",0.37753034492857274,71
"{'learning_rate': 0.028299999999999985, 'max_depth': 2, 'n_estimator': 1700}",0.37753034492857274,71
"{'learning_rate': 0.028299999999999985, 'max_depth': 2, 'n_estimator': 1600}",0.37753034492857274,71
"{'learning_rate': 0.028299999999999985, 'max_depth': 2, 'n_estimator': 1500}",0.37753034492857274,71
"{'learning_rate': 0.028299999999999985, 'max_depth': 2, 'n_estimator': 1400}",0.37753034492857274,71
"{'learning_rate': 0.028299999999999985, 'max_depth': 2, 'n_estimator': 1300}",0.37753034492857274,71
"{'learning_rate': 0.028299999999999985, 'max_depth': 2, 'n_estimator': 1200}",0.37753034492857274,71
"{'learning_rate': 0.028299999999999985, 'max_depth': 2, 'n_estimator': 1100}",0.37753034492857274,71
"{'learning_rate': 0.02889999999999998, 'max_depth': 2, 'n_estimator': 1700}",0.3774043185284654,81
"{'learning_rate': 0.02889999999999998, 'max_depth': 2, 'n_estimator': 1600}",0.3774043185284654,81
"{'learning_rate': 0.02889999999999998, 'max_depth': 2, 'n_estimator': 1500}",0.3774043185284654,81
"{'learning_rate': 0.02889999999999998, 'max_depth': 2, 'n_estimator': 1900}",0.3774043185284654,81
"{'learning_rate': 0.02889999999999998, 'max_depth': 2, 'n_estimator': 1400}",0.3774043185284654,81
"{'learning_rate': 0.02889999999999998, 'max_depth': 2, 'n_estimator': 1800}",0.3774043185284654,81
"{'learning_rate': 0.02889999999999998, 'max_depth': 2, 'n_estimator': 1000}",0.3774043185284654,81
"{'learning_rate': 0.02889999999999998, 'max_depth': 2, 'n_estimator': 1100}",0.3774043185284654,81
"{'learning_rate': 0.02889999999999998, 'max_depth': 2, 'n_estimator': 1200}",0.3774043185284654,81
"{'learning_rate': 0.02889999999999998, 'max_depth': 2, 'n_estimator': 1300}",0.3774043185284654,81
"{'learning_rate': 0.02919999999999998, 'max_depth': 2, 'n_estimator': 1000}",0.37706471042567413,91
"{'learning_rate': 0.02919999999999998, 'max_depth': 2, 'n_estimator': 1100}",0.37706471042567413,91
"{'learning_rate': 0.02919999999999998, 'max_depth': 2, 'n_estimator': 1200}",0.37706471042567413,91
"{'learning_rate': 0.02919999999999998, 'max_depth': 2, 'n_estimator': 1900}",0.37706471042567413,91
"{'learning_rate': 0.02919999999999998, 'max_depth': 2, 'n_estimator': 1400}",0.37706471042567413,91
"{'learning_rate': 0.02919999999999998, 'max_depth': 2, 'n_estimator': 1500}",0.37706471042567413,91
"{'learning_rate': 0.02919999999999998, 'max_depth': 2, 'n_estimator': 1600}",0.37706471042567413,91
"{'learning_rate': 0.02919999999999998, 'max_depth': 2, 'n_estimator': 1800}",0.37706471042567413,91
"{'learning_rate': 0.02919999999999998, 'max_depth': 2, 'n_estimator': 1700}",0.37706471042567413,91
"{'learning_rate': 0.02919999999999998, 'max_depth': 2, 'n_estimator': 1300}",0.37706471042567413,91
"{'learning_rate': 0.029499999999999978, 'max_depth': 2, 'n_estimator': 1100}",0.37705925631979786,101
"{'learning_rate': 0.029499999999999978, 'max_depth': 2, 'n_estimator': 1900}",0.37705925631979786,101
"{'learning_rate': 0.029499999999999978, 'max_depth': 2, 'n_estimator': 1800}",0.37705925631979786,101
"{'learning_rate': 0.029499999999999978, 'max_depth': 2, 'n_estimator': 1700}",0.37705925631979786,101
"{'learning_rate': 0.029499999999999978, 'max_depth': 2, 'n_estimator': 1600}",0.37705925631979786,101
"{'learning_rate': 0.029499999999999978, 'max_depth': 2, 'n_estimator': 1500}",0.37705925631979786,101
"{'learning_rate': 0.029499999999999978, 'max_depth': 2, 'n_estimator': 1400}",0.37705925631979786,101
"{'learning_rate': 0.029499999999999978, 'max_depth': 2, 'n_estimator': 1300}",0.37705925631979786,101
"{'learning_rate': 0.029499999999999978, 'max_depth': 2, 'n_estimator': 1200}",0.37705925631979786,101
"{'learning_rate': 0.029499999999999978, 'max_depth': 2, 'n_estimator': 1000}",0.37705925631979786,101
"{'learning_rate': 0.028599999999999983, 'max_depth': 2, 'n_estimator': 1800}",0.3769701931106459,111
"{'learning_rate': 0.028599999999999983, 'max_depth': 2, 'n_estimator': 1300}",0.3769701931106459,111
"{'learning_rate': 0.028599999999999983, 'max_depth': 2, 'n_estimator': 1200}",0.3769701931106459,111
"{'learning_rate': 0.028599999999999983, 'max_depth': 2, 'n_estimator': 1100}",0.3769701931106459,111
"{'learning_rate': 0.028599999999999983, 'max_depth': 2, 'n_estimator': 1000}",0.3769701931106459,111
"{'learning_rate': 0.028599999999999983, 'max_depth': 2, 'n_estimator': 1500}",0.3769701931106459,111
"{'learning_rate': 0.028599999999999983, 'max_depth': 2, 'n_estimator': 1900}",0.3769701931106459,111
"{'learning_rate': 0.028599999999999983, 'max_depth': 2, 'n_estimator': 1700}",0.3769701931106459,111
"{'learning_rate': 0.028599999999999983, 'max_depth': 2, 'n_estimator': 1400}",0.3769701931106459,111
"{'learning_rate': 0.028599999999999983, 'max_depth': 2, 'n_estimator': 1600}",0.3769701931106459,111
"{'learning_rate': 0.028099999999999986, 'max_depth': 2, 'n_estimator': 1800}",0.3768365028322435,121
"{'learning_rate': 0.028099999999999986, 'max_depth': 2, 'n_estimator': 1700}",0.3768365028322435,121
"{'learning_rate': 0.028099999999999986, 'max_depth': 2, 'n_estimator': 1600}",0.3768365028322435,121
"{'learning_rate': 0.028099999999999986, 'max_depth': 2, 'n_estimator': 1500}",0.3768365028322435,121
"{'learning_rate': 0.028099999999999986, 'max_depth': 2, 'n_estimator': 1400}",0.3768365028322435,121
"{'learning_rate': 0.028099999999999986, 'max_depth': 2, 'n_estimator': 1900}",0.3768365028322435,121
"{'learning_rate': 0.028099999999999986, 'max_depth': 2, 'n_estimator': 1100}",0.3768365028322435,121
"{'learning_rate': 0.028099999999999986, 'max_depth': 2, 'n_estimator': 1200}",0.3768365028322435,121
"{'learning_rate': 0.028099999999999986, 'max_depth': 2, 'n_estimator': 1000}",0.3768365028322435,121
"{'learning_rate': 0.028099999999999986, 'max_depth': 2, 'n_estimator': 1300}",0.3768365028322435,121
"{'learning_rate': 0.028699999999999982, 'max_depth': 2, 'n_estimator': 1000}",0.3763778965953947,131
"{'learning_rate': 0.028699999999999982, 'max_depth': 2, 'n_estimator': 1900}",0.3763778965953947,131
"{'learning_rate': 0.028699999999999982, 'max_depth': 2, 'n_estimator': 1800}",0.3763778965953947,131
"{'learning_rate': 0.028699999999999982, 'max_depth': 2, 'n_estimator': 1600}",0.3763778965953947,131
"{'learning_rate': 0.028699999999999982, 'max_depth': 2, 'n_estimator': 1500}",0.3763778965953947,131
"{'learning_rate': 0.028699999999999982, 'max_depth': 2, 'n_estimator': 1700}",0.3763778965953947,131
"{'learning_rate': 0.028699999999999982, 'max_depth': 2, 'n_estimator': 1400}",0.3763778965953947,131
"{'learning_rate': 0.028699999999999982, 'max_depth': 2, 'n_estimator': 1300}",0.3763778965953947,131
"{'learning_rate': 0.028699999999999982, 'max_depth': 2, 'n_estimator': 1200}",0.3763778965953947,131
"{'learning_rate': 0.028699999999999982, 'max_depth': 2, 'n_estimator': 1100}",0.3763778965953947,131
"{'learning_rate': 0.029399999999999978, 'max_depth': 2, 'n_estimator': 1000}",0.37625494969985285,141
"{'learning_rate': 0.029399999999999978, 'max_depth': 2, 'n_estimator': 1100}",0.37625494969985285,141
"{'learning_rate': 0.029399999999999978, 'max_depth': 2, 'n_estimator': 1200}",0.37625494969985285,141
"{'learning_rate': 0.029399999999999978, 'max_depth': 2, 'n_estimator': 1300}",0.37625494969985285,141
"{'learning_rate': 0.029399999999999978, 'max_depth': 2, 'n_estimator': 1400}",0.37625494969985285,141
"{'learning_rate': 0.029399999999999978, 'max_depth': 2, 'n_estimator': 1500}",0.37625494969985285,141
"{'learning_rate': 0.029399999999999978, 'max_depth': 2, 'n_estimator': 1600}",0.37625494969985285,141
"{'learning_rate': 0.029399999999999978, 'max_depth': 2, 'n_estimator': 1700}",0.37625494969985285,141
"{'learning_rate': 0.029399999999999978, 'max_depth': 2, 'n_estimator': 1900}",0.37625494969985285,141
"{'learning_rate': 0.029399999999999978, 'max_depth': 2, 'n_estimator': 1800}",0.37625494969985285,141
"{'learning_rate': 0.02929999999999998, 'max_depth': 2, 'n_estimator': 1400}",0.37588580553747836,151
"{'learning_rate': 0.02929999999999998, 'max_depth': 2, 'n_estimator': 1900}",0.37588580553747836,151
"{'learning_rate': 0.02929999999999998, 'max_depth': 2, 'n_estimator': 1800}",0.37588580553747836,151
"{'learning_rate': 0.02929999999999998, 'max_depth': 2, 'n_estimator': 1700}",0.37588580553747836,151
"{'learning_rate': 0.02929999999999998, 'max_depth': 2, 'n_estimator': 1500}",0.37588580553747836,151
"{'learning_rate': 0.02929999999999998, 'max_depth': 2, 'n_estimator': 1000}",0.37588580553747836,151
"{'learning_rate': 0.02929999999999998, 'max_depth': 2, 'n_estimator': 1100}",0.37588580553747836,151
"{'learning_rate': 0.02929999999999998, 'max_depth': 2, 'n_estimator': 1200}",0.37588580553747836,151
"{'learning_rate': 0.02929999999999998, 'max_depth': 2, 'n_estimator': 1300}",0.37588580553747836,151
"{'learning_rate': 0.02929999999999998, 'max_depth': 2, 'n_estimator': 1600}",0.37588580553747836,151
"{'learning_rate': 0.02899999999999998, 'max_depth': 2, 'n_estimator': 1700}",0.3756580569916628,161
"{'learning_rate': 0.02899999999999998, 'max_depth': 2, 'n_estimator': 1600}",0.3756580569916628,161
"{'learning_rate': 0.02899999999999998, 'max_depth': 2, 'n_estimator': 1500}",0.3756580569916628,161
"{'learning_rate': 0.02899999999999998, 'max_depth': 2, 'n_estimator': 1400}",0.3756580569916628,161
"{'learning_rate': 0.02899999999999998, 'max_depth': 2, 'n_estimator': 1200}",0.3756580569916628,161
"{'learning_rate': 0.02899999999999998, 'max_depth': 2, 'n_estimator': 1100}",0.3756580569916628,161
"{'learning_rate': 0.02899999999999998, 'max_depth': 2, 'n_estimator': 1000}",0.3756580569916628,161
"{'learning_rate': 0.02899999999999998, 'max_depth': 2, 'n_estimator': 1300}",0.3756580569916628,161
"{'learning_rate': 0.02899999999999998, 'max_depth': 2, 'n_estimator': 1900}",0.3756580569916628,161
"{'learning_rate': 0.02899999999999998, 'max_depth': 2, 'n_estimator': 1800}",0.3756580569916628,161
"{'learning_rate': 0.028399999999999984, 'max_depth': 2, 'n_estimator': 1800}",0.3756345745259577,171
"{'learning_rate': 0.028399999999999984, 'max_depth': 2, 'n_estimator': 1000}",0.3756345745259577,171
"{'learning_rate': 0.028399999999999984, 'max_depth': 2, 'n_estimator': 1600}",0.3756345745259577,171
"{'learning_rate': 0.028399999999999984, 'max_depth': 2, 'n_estimator': 1700}",0.3756345745259577,171
"{'learning_rate': 0.028399999999999984, 'max_depth': 2, 'n_estimator': 1500}",0.3756345745259577,171
"{'learning_rate': 0.028399999999999984, 'max_depth': 2, 'n_estimator': 1400}",0.3756345745259577,171
"{'learning_rate': 0.028399999999999984, 'max_depth': 2, 'n_estimator': 1300}",0.3756345745259577,171
"{'learning_rate': 0.028399999999999984, 'max_depth': 2, 'n_estimator': 1100}",0.3756345745259577,171
"{'learning_rate': 0.028399999999999984, 'max_depth': 2, 'n_estimator': 1200}",0.3756345745259577,171
"{'learning_rate': 0.028399999999999984, 'max_depth': 2, 'n_estimator': 1900}",0.3756345745259577,171
"{'learning_rate': 0.028799999999999982, 'max_depth': 2, 'n_estimator': 1700}",0.37558065015672126,181
"{'learning_rate': 0.028799999999999982, 'max_depth': 2, 'n_estimator': 1100}",0.37558065015672126,181
"{'learning_rate': 0.028799999999999982, 'max_depth': 2, 'n_estimator': 1300}",0.37558065015672126,181
"{'learning_rate': 0.028799999999999982, 'max_depth': 2, 'n_estimator': 1400}",0.37558065015672126,181
"{'learning_rate': 0.028799999999999982, 'max_depth': 2, 'n_estimator': 1800}",0.37558065015672126,181
"{'learning_rate': 0.028799999999999982, 'max_depth': 2, 'n_estimator': 1500}",0.37558065015672126,181
"{'learning_rate': 0.028799999999999982, 'max_depth': 2, 'n_estimator': 1200}",0.37558065015672126,181
"{'learning_rate': 0.028799999999999982, 'max_depth': 2, 'n_estimator': 1900}",0.37558065015672126,181
"{'learning_rate': 0.028799999999999982, 'max_depth': 2, 'n_estimator': 1600}",0.37558065015672126,181
"{'learning_rate': 0.028799999999999982, 'max_depth': 2, 'n_estimator': 1000}",0.37558065015672126,181
"{'learning_rate': 0.028499999999999984, 'max_depth': 2, 'n_estimator': 1800}",0.3755290374784852,191
"{'learning_rate': 0.028499999999999984, 'max_depth': 2, 'n_estimator': 1600}",0.3755290374784852,191
"{'learning_rate': 0.028499999999999984, 'max_depth': 2, 'n_estimator': 1900}",0.3755290374784852,191
"{'learning_rate': 0.028499999999999984, 'max_depth': 2, 'n_estimator': 1500}",0.3755290374784852,191
"{'learning_rate': 0.028499999999999984, 'max_depth': 2, 'n_estimator': 1400}",0.3755290374784852,191
"{'learning_rate': 0.028499999999999984, 'max_depth': 2, 'n_estimator': 1300}",0.3755290374784852,191
"{'learning_rate': 0.028499999999999984, 'max_depth': 2, 'n_estimator': 1200}",0.3755290374784852,191
"{'learning_rate': 0.028499999999999984, 'max_depth': 2, 'n_estimator': 1100}",0.3755290374784852,191
"{'learning_rate': 0.028499999999999984, 'max_depth': 2, 'n_estimator': 1700}",0.3755290374784852,191
"{'learning_rate': 0.028499999999999984, 'max_depth': 2, 'n_estimator': 1000}",0.3755290374784852,191
"{'learning_rate': 0.027799999999999988, 'max_depth': 2, 'n_estimator': 1000}",0.375268216128673,201
"{'learning_rate': 0.027799999999999988, 'max_depth': 2, 'n_estimator': 1200}",0.375268216128673,201
"{'learning_rate': 0.027799999999999988, 'max_depth': 2, 'n_estimator': 1100}",0.375268216128673,201
"{'learning_rate': 0.027799999999999988, 'max_depth': 2, 'n_estimator': 1300}",0.375268216128673,201
"{'learning_rate': 0.027799999999999988, 'max_depth': 2, 'n_estimator': 1400}",0.375268216128673,201
"{'learning_rate': 0.027799999999999988, 'max_depth': 2, 'n_estimator': 1500}",0.375268216128673,201
"{'learning_rate': 0.027799999999999988, 'max_depth': 2, 'n_estimator': 1600}",0.375268216128673,201
"{'learning_rate': 0.027799999999999988, 'max_depth': 2, 'n_estimator': 1700}",0.375268216128673,201
"{'learning_rate': 0.027799999999999988, 'max_depth': 2, 'n_estimator': 1800}",0.375268216128673,201
"{'learning_rate': 0.027799999999999988, 'max_depth': 2, 'n_estimator': 1900}",0.375268216128673,201
"{'learning_rate': 0.027899999999999987, 'max_depth': 2, 'n_estimator': 1400}",0.37445156266254837,211
"{'learning_rate': 0.027899999999999987, 'max_depth': 2, 'n_estimator': 1000}",0.37445156266254837,211
"{'learning_rate': 0.027899999999999987, 'max_depth': 2, 'n_estimator': 1100}",0.37445156266254837,211
"{'learning_rate': 0.027899999999999987, 'max_depth': 2, 'n_estimator': 1900}",0.37445156266254837,211
"{'learning_rate': 0.027899999999999987, 'max_depth': 2, 'n_estimator': 1800}",0.37445156266254837,211
"{'learning_rate': 0.027899999999999987, 'max_depth': 2, 'n_estimator': 1700}",0.37445156266254837,211
"{'learning_rate': 0.027899999999999987, 'max_depth': 2, 'n_estimator': 1200}",0.37445156266254837,211
"{'learning_rate': 0.027899999999999987, 'max_depth': 2, 'n_estimator': 1500}",0.37445156266254837,211
"{'learning_rate': 0.027899999999999987, 'max_depth': 2, 'n_estimator': 1300}",0.37445156266254837,211
"{'learning_rate': 0.027899999999999987, 'max_depth': 2, 'n_estimator': 1600}",0.37445156266254837,211
"{'learning_rate': 0.02759999999999999, 'max_depth': 2, 'n_estimator': 1200}",0.37406828763134037,221
"{'learning_rate': 0.02759999999999999, 'max_depth': 2, 'n_estimator': 1900}",0.37406828763134037,221
"{'learning_rate': 0.02759999999999999, 'max_depth': 2, 'n_estimator': 1000}",0.37406828763134037,221
"{'learning_rate': 0.02759999999999999, 'max_depth': 2, 'n_estimator': 1100}",0.37406828763134037,221
"{'learning_rate': 0.02759999999999999, 'max_depth': 2, 'n_estimator': 1800}",0.37406828763134037,221
"{'learning_rate': 0.02759999999999999, 'max_depth': 2, 'n_estimator': 1700}",0.37406828763134037,221
"{'learning_rate': 0.02759999999999999, 'max_depth': 2, 'n_estimator': 1600}",0.37406828763134037,221
"{'learning_rate': 0.02759999999999999, 'max_depth': 2, 'n_estimator': 1500}",0.37406828763134037,221
"{'learning_rate': 0.02759999999999999, 'max_depth': 2, 'n_estimator': 1400}",0.37406828763134037,221
"{'learning_rate': 0.02759999999999999, 'max_depth': 2, 'n_estimator': 1300}",0.37406828763134037,221
"{'learning_rate': 0.026999999999999993, 'max_depth': 2, 'n_estimator': 1800}",0.3738887411695825,231
"{'learning_rate': 0.026999999999999993, 'max_depth': 2, 'n_estimator': 1900}",0.3738887411695825,231
"{'learning_rate': 0.026999999999999993, 'max_depth': 2, 'n_estimator': 1300}",0.3738887411695825,231
"{'learning_rate': 0.026999999999999993, 'max_depth': 2, 'n_estimator': 1700}",0.3738887411695825,231
"{'learning_rate': 0.026999999999999993, 'max_depth': 2, 'n_estimator': 1500}",0.3738887411695825,231
"{'learning_rate': 0.026999999999999993, 'max_depth': 2, 'n_estimator': 1000}",0.3738887411695825,231
"{'learning_rate': 0.026999999999999993, 'max_depth': 2, 'n_estimator': 1100}",0.3738887411695825,231
"{'learning_rate': 0.026999999999999993, 'max_depth': 2, 'n_estimator': 1200}",0.3738887411695825,231
"{'learning_rate': 0.026999999999999993, 'max_depth': 2, 'n_estimator': 1600}",0.3738887411695825,231
"{'learning_rate': 0.026999999999999993, 'max_depth': 2, 'n_estimator': 1400}",0.3738887411695825,231
"{'learning_rate': 0.02749999999999999, 'max_depth': 2, 'n_estimator': 1100}",0.37378890180490504,241
"{'learning_rate': 0.02749999999999999, 'max_depth': 2, 'n_estimator': 1200}",0.37378890180490504,241
"{'learning_rate': 0.02749999999999999, 'max_depth': 2, 'n_estimator': 1300}",0.37378890180490504,241
"{'learning_rate': 0.02749999999999999, 'max_depth': 2, 'n_estimator': 1000}",0.37378890180490504,241
"{'learning_rate': 0.02749999999999999, 'max_depth': 2, 'n_estimator': 1500}",0.37378890180490504,241
"{'learning_rate': 0.02749999999999999, 'max_depth': 2, 'n_estimator': 1600}",0.37378890180490504,241
"{'learning_rate': 0.02749999999999999, 'max_depth': 2, 'n_estimator': 1700}",0.37378890180490504,241
"{'learning_rate': 0.02749999999999999, 'max_depth': 2, 'n_estimator': 1800}",0.37378890180490504,241
"{'learning_rate': 0.02749999999999999, 'max_depth': 2, 'n_estimator': 1900}",0.37378890180490504,241
"{'learning_rate': 0.02749999999999999, 'max_depth': 2, 'n_estimator': 1400}",0.37378890180490504,241
"{'learning_rate': 0.02769999999999999, 'max_depth': 2, 'n_estimator': 1800}",0.3736223986666499,251
"{'learning_rate': 0.02769999999999999, 'max_depth': 2, 'n_estimator': 1000}",0.3736223986666499,251
"{'learning_rate': 0.02769999999999999, 'max_depth': 2, 'n_estimator': 1700}",0.3736223986666499,251
"{'learning_rate': 0.02769999999999999, 'max_depth': 2, 'n_estimator': 1900}",0.3736223986666499,251
"{'learning_rate': 0.02769999999999999, 'max_depth': 2, 'n_estimator': 1600}",0.3736223986666499,251
"{'learning_rate': 0.02769999999999999, 'max_depth': 2, 'n_estimator': 1300}",0.3736223986666499,251
"{'learning_rate': 0.02769999999999999, 'max_depth': 2, 'n_estimator': 1400}",0.3736223986666499,251
"{'learning_rate': 0.02769999999999999, 'max_depth': 2, 'n_estimator': 1200}",0.3736223986666499,251
"{'learning_rate': 0.02769999999999999, 'max_depth': 2, 'n_estimator': 1100}",0.3736223986666499,251
"{'learning_rate': 0.02769999999999999, 'max_depth': 2, 'n_estimator': 1500}",0.3736223986666499,251
"{'learning_rate': 0.026299999999999997, 'max_depth': 2, 'n_estimator': 1900}",0.373464268210922,261
"{'learning_rate': 0.026299999999999997, 'max_depth': 2, 'n_estimator': 1800}",0.373464268210922,261
"{'learning_rate': 0.026299999999999997, 'max_depth': 2, 'n_estimator': 1700}",0.373464268210922,261
